Timestamp,Out (KB),In (KB),Out (Ops),In (Ops),Active DOs,Stream (KB)
2026-03-15T15:39:26.721Z,0.00,10.98,0,15,0,0.00
2026-03-15T15:39:32.473Z,0.00,0.00,0,0,0,32.71
2026-03-15T15:39:47.520Z,0.00,14.13,0,22,22,0.00
2026-03-15T15:39:57.588Z,0.00,46.98,0,79,89,0.00
2026-03-15T15:40:07.515Z,0.00,66.17,0,107,159,0.00
2026-03-15T15:40:17.516Z,0.00,64.99,0,107,207,0.00
2026-03-15T15:40:27.534Z,0.00,70.97,0,108,250,0.00
2026-03-15T15:40:37.672Z,0.00,68.48,0,106,278,0.00
2026-03-15T15:40:47.604Z,0.00,68.64,0,109,304,0.00
2026-03-15T15:40:57.515Z,0.00,63.65,0,104,327,0.00
2026-03-15T15:41:07.590Z,0.00,66.16,0,107,343,0.00
2026-03-15T15:41:17.598Z,0.00,66.69,0,110,355,0.00
2026-03-15T15:41:27.514Z,0.00,64.04,0,104,370,0.00
2026-03-15T15:41:37.515Z,0.00,66.60,0,108,384,0.00
2026-03-15T15:41:47.654Z,0.00,66.17,0,107,389,0.00
2026-03-15T15:41:57.587Z,0.00,65.78,0,107,393,0.00
2026-03-15T15:42:07.612Z,0.00,69.38,0,108,395,0.00
2026-03-15T15:42:17.690Z,0.00,65.28,0,105,397,0.00
2026-03-15T15:42:27.513Z,0.00,75.32,0,108,398,0.00
2026-03-15T15:42:37.513Z,0.00,66.20,0,108,398,0.00
2026-03-15T15:42:47.673Z,0.00,64.88,0,105,398,0.00
2026-03-15T15:42:57.513Z,0.00,68.94,0,107,399,0.00
2026-03-15T15:43:07.522Z,0.00,70.18,0,108,399,0.00
2026-03-15T15:43:17.513Z,0.00,66.18,0,107,399,0.00
2026-03-15T15:43:27.678Z,0.00,69.00,0,108,399,0.00
2026-03-15T15:43:37.620Z,0.00,66.06,0,105,399,0.00
2026-03-15T15:43:47.587Z,0.00,66.96,0,107,399,0.00
2026-03-15T15:43:57.512Z,0.00,69.48,0,110,399,0.00
2026-03-15T15:44:07.816Z,0.00,67.26,0,105,399,0.00
2026-03-15T15:44:17.520Z,0.00,67.41,0,108,400,0.00
2026-03-15T15:44:27.576Z,0.00,68.12,0,107,400,0.00
2026-03-15T15:44:37.645Z,0.00,68.97,0,108,400,0.00
2026-03-15T15:44:47.576Z,0.00,61.32,0,105,400,0.00
2026-03-15T15:44:57.511Z,0.00,66.96,0,107,400,0.00
2026-03-15T15:45:07.511Z,0.00,65.03,0,108,400,0.00